# s_m, x_m, y_m, vx_mps
552.7405088,150.3003731,44.9847932,20.0
553.7400396,149.6168042,44.2555505,20.0
554.7395703,148.9332796,43.5262664,20.0
555.7391011,148.2498206,42.7969208,20.0
556.7386318,147.5664487,42.0674936,20.0
557.7381626,146.8831853,41.3379649,20.0
558.7376934,146.2000517,40.6083146,20.0
559.7372241,145.5170692,39.8785229,20.0
560.7367549,144.8342594,39.1485699,20.0
561.7362856,144.1516432,38.4184357,20.0
562.7358164,143.4692403,37.688098,20.0
563.7353471,142.7870615,36.9575503,20.0
564.7348779,142.1050943,36.2268088,20.0
565.7344087,141.4233183,35.4958893,20.0
566.7339394,140.7417145,34.7648088,19.9610412
567.7334702,140.0602647,34.0335849,19.8118675
568.7330009,139.3789501,33.3022349,19.6613437
569.7325317,138.6977523,32.5707762,19.5094447
570.7320625,138.0166527,31.8392259,19.3561443
571.7315932,137.3356327,31.1076015,19.2014148
572.731124,136.6546739,30.3759201,19.0452278
573.7306547,135.9737576,29.6441991,18.8875532
574.7301855,135.2928655,28.9124556,18.7283598
575.7297162,134.6119789,28.1807069,18.5676851
576.729247,133.9310793,27.4489702,18.4057834
577.7287778,133.2501484,26.7172628,18.2426156
578.7283085,132.5691676,25.9856017,18.078141
579.7278393,131.8881183,25.2540043,17.9123171
580.72737,131.2069823,24.5224876,17.7450996
581.7269008,130.525741,23.791069,17.576442
582.7264315,129.8443761,23.0597655,17.4062961
583.7259623,129.162869,22.3285945,17.2346109
584.7254931,128.4812014,21.5975731,17.0613334
585.7250238,127.7993549,20.8667185,16.8864077
586.7245546,127.1173111,20.1360481,16.7097753
587.7240853,126.4350517,19.405579,16.5313746
588.7236161,125.7525583,18.6753285,16.3511408
589.7231468,125.0698125,17.9453139,16.1690056
590.7226776,124.3867961,17.2155526,15.9848969
591.7222084,123.7034907,16.4860618,15.7987386
592.7217391,123.019878,15.756859,15.6104502
593.7212699,122.3359397,15.0279616,15.4199463
594.7208006,121.6516576,14.2993869,15.2271365
595.7203314,120.9670134,13.5711526,15.0319244
596.7198621,120.2819888,12.843276,14.8342077
597.7193929,119.5965656,12.1157748,14.6338772
598.7189237,118.9107257,11.3886665,14.4308163
599.7184544,118.2244507,10.6619688,14.2249001
600.7179852,117.5377226,9.9356994,14.0159947
601.7175159,116.8505231,9.209876,13.8039563
602.7170467,116.162834,8.4845165,13.58863
603.7165774,115.4746373,7.7596385,13.3698481
604.7161082,114.785915,7.0352604,13.1474311
605.715639,114.096648,6.3113992,12.9211862
606.7151697,113.40682,5.5880766,12.6909779
607.7147005,112.7163892,4.8653209,12.4569326
608.7142312,112.0252713,4.1432297,12.2196172
