 x_m, y_m, vx_mps
-5.1810939,-3.0095278,2.0478601
-5.1795356,-2.9496297,2.0400204
-5.1821515,-2.8898731,2.0335229
-5.1890262,-2.8301565,2.027454
-5.2001206,-2.7712431,2.0213668
-5.2153269,-2.7133698,2.0174243
-5.2345249,-2.6565185,2.0172399
-5.2572403,-2.6011734,2.0283362
-5.2833136,-2.5472807,2.0442625
-5.3127442,-2.495125,2.0517833
-5.3455246,-2.4449091,2.0565033
-5.3815438,-2.3969766,2.0574297
-5.420658,-2.3516369,2.0554476
-5.4628745,-2.3089836,2.0516835
-5.5079524,-2.2693498,2.0467866
-5.5555635,-2.2330517,2.0411293
-5.6056162,-2.200104,2.0372757
-5.6577751,-2.1705438,2.0397275
-5.7116625,-2.1442392,2.0522474
-5.7669129,-2.1208978,2.0776395
-5.8231852,-2.1001763,2.1154416
-5.8802525,-2.0817579,2.1632611
-5.9379881,-2.0655401,2.2090127
-5.9962638,-2.0514598,2.2537479
-6.05498,-2.0394275,2.2981213
-6.1140551,-2.0293354,2.3429306
-6.1734158,-2.0210596,2.3866799
-6.2329969,-2.0144614,2.4293862
-6.2927407,-2.0093881,2.4711052
-6.3525971,-2.0056737,2.5118874
-6.4125244,-2.0031408,2.5517793
-6.4724893,-2.0016015,2.5908234
-6.5324659,-2.0008598,2.6290588
-6.5924353,-2.0007133,2.6665216
-6.652393,-2.0009563,2.7032454
-6.7123649,-2.001382,2.7392611
-6.772345,-2.0017847,2.7745976
-6.8323263,-2.0019619,2.8092817
-6.8922976,-2.0017188,2.8433387
-6.9522461,-2.0008651,2.8767919
-7.0121636,-1.9992024,2.9096634
-7.0720328,-1.9965255,2.8623019
-7.1318351,-1.992642,2.8153396
-7.1915933,-1.9873662,2.7736446
-7.2511878,-1.9805371,2.7366641
-7.3105546,-1.9720059,2.7038688
-7.3696179,-1.9616408,2.6747342
-7.4282903,-1.9493287,2.6487135
-7.4864719,-1.9349772,2.6252
-7.544052,-1.9185174,2.6034767
-7.6011251,-1.8998322,2.5827145
-7.6574026,-1.8789421,2.5624891
-7.7127332,-1.855853,2.5434804
-7.7669972,-1.8305521,2.5292509
-7.8201021,-1.8029586,2.5151157
-7.8719648,-1.7730829,2.50049
-7.9225384,-1.7408934,2.4881779
-7.9716537,-1.706393,2.4783146
-8.0190337,-1.6696795,2.4702339
-8.0645778,-1.6307637,2.4628616
-8.1082141,-1.5896595,2.4554671
-8.1498154,-1.5464654,2.4484234
-8.1892808,-1.5012996,2.4425627
-8.2265353,-1.4542935,2.4385308
-8.26153,-1.4055886,2.4368535
-8.2942417,-1.3553332,2.437983
-8.3246773,-1.3036728,2.4423453
-8.3528757,-1.2507425,2.4505027
-8.3788907,-1.1967047,2.4629086
-8.4028228,-1.1417304,2.4809058
-8.4248156,-1.0859599,2.5051776
-8.4450041,-1.0295166,2.5344217
-8.4635142,-0.9725045,2.5677153
-8.4804603,-0.9150074,2.6041837
-8.4959445,-0.8570933,2.642147
-8.5100537,-0.7988243,2.6793496
-8.52286,-0.7402608,2.7158242
-8.5344264,-0.6814408,2.751601
-8.5448038,-0.6223961,2.7867082
-8.554032,-0.5631546,2.8211719
-8.5621416,-0.5037418,2.8550167
-8.5691555,-0.4441814,2.8882656
-8.5750876,-0.3845268,2.9209401
-8.5799528,-0.3247863,2.9530604
