 x_m, y_m, vx_mps
-4.4333095,4.1179332,4.6187961
-4.4333067,4.0879404,4.6248529
-4.4333038,4.0579476,4.6308836
-4.433301,4.0279547,4.6368884
-4.4332982,3.9979619,4.6428675
-4.4332953,3.967969,4.648821
-4.4332925,3.9379761,4.6547491
-4.4332896,3.9079832,4.6606518
-4.4332868,3.8779904,4.6665295
-4.4332839,3.8479976,4.6723821
-4.433281,3.818005,4.6782099
-4.4332782,3.7880124,4.684013
-4.4332753,3.7580198,4.6897916
-4.4332725,3.7280271,4.6955457
-4.4332697,3.6980345,4.7012756
-4.4332668,3.6680418,4.7069813
-4.4332639,3.6380492,4.7126631
-4.4332609,3.6080565,4.7183209
-4.4332578,3.5780638,4.7239551
-4.4332547,3.5480712,4.7295657
-4.4332515,3.5180785,4.7351529
-4.4332482,3.4880858,4.7407167
-4.4332448,3.458093,4.7462574
-4.4332413,3.4281003,4.751775
-4.4332377,3.3981076,4.7572697
-4.433234,3.3681148,4.7627416
-4.4332302,3.3381221,4.7681908
-4.4332262,3.3081293,4.7736175
-4.4332222,3.2781365,4.7790218
-4.4332181,3.2481437,4.7844038
-4.4332139,3.2181508,4.7897637
-4.4332096,3.188158,4.7951015
-4.4332053,3.1581651,4.8004174
-4.4332009,3.1281722,4.8057115
-4.4331964,3.0981793,4.8109839
-4.4331919,3.0681864,4.8162347
-4.4331874,3.0381934,4.8214641
-4.4331829,3.0082004,4.8266722
-4.4331785,2.9782078,4.8318591
-4.433174,2.9482153,4.8370249
